gene	SRR1542417	SRR1542416	SRR1542415	SRR1542414	SRR1542413	SRR1542412	SRR1542411	SRR1542410	SRR1542409	SRR1542408	SRR1542407	SRR1542406	SRR1542405	SRR1542404
TraesCS3B02G011600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0145474
TraesCS3B02G026700	1.19692	1.24431	3.58194	3.89255	2.39546	2.24981	5.79782	4.7057	8.45262	8.23662	13.2215	11.9548	18.5197	22.4291
TraesCS3B02G227600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3B02G362000	0.106578	0.0475466	0.446807	0.498883	0.206468	0.191304	0.447506	0.408361	0.693378	0.666692	0.392166	0.19422	0.173359	0.372299
TraesCS3B02G366800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014072	0.0	0.0	0.0
TraesCS3B02G371400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3D02G003600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3D02G027300	0.793647	0.688522	3.54201	3.51004	2.70729	2.06496	6.32631	5.18243	5.18153	4.74614	13.13	12.1721	20.9018	24.3646
TraesCS3D02G199100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3D02G325400	0.0734032	0.0764534	0.267517	0.325375	0.0797022	0.138382	0.111831	0.141232	0.293012	0.251248	0.162132	0.162309	0.0732631	0.102549
TraesCS3D02G328900	0.0	0.0	0.0163703	0.0336845	0.0	0.101657	0.0	0.0159588	0.0127838	0.0291479	0.0833297	0.0688317	0.0344524	0.02161
TraesCS3D02G333300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4A02G386700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4A02G415600	0.210237	0.335728	0.13796	0.0767351	0.11232	0.126434	0.120948	0.0972284	0.12668	0.111493	0.30935	0.157795	0.222119	0.287839
TraesCS4A02G464100	0.0193551	0.0	0.0195247	0.0202365	0.060598	0.0215097	0.0	0.0	0.03184	0.0174032	0.0454417	0.0164539	0.0275361	0.0404092
TraesCS4A02G464200	0.0300864	0.106063	0.0	0.0	0.0833344	0.049696	0.0514224	0.0235311	0.0324153	0.0350981	0.0799532	0.0151051	0.0772327	0.143326
TraesCS4A02G472400	0.0284874	0.0586547	0.0	0.0606702	0.0793557	0.149252	0.0597783	0.0431676	0.138874	0.160401	0.0973147	0.111868	0.0628837	0.129465
TraesCS4B02G028400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4B02G086600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018489	0.06281	0.0	0.0	0.0	0.0305828
TraesCS4B02G262500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4B02G316400	0.0814854	0.0305366	0.282184	0.2567317	0.0397932	0.0	0.207375	0.101028	0.0346964	0.0636681	1.441756	1.1290424	0.6290279	0.869665
TraesCS4D02G313000	0.0259903	0.0	0.118554	0.147973	0.0589532	0.0204332	0.254285	0.178885	0.0512165	0.0137993	0.676883	0.58963	0.443983	0.555255
TraesCS5A02G015800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153578	0.0	0.0140351	0.0229345	0.0	0.0	0.0
TraesCS5A02G220400	0.0837385	0.0479593	0.0811979	0.0581655	0.0384463	0.0278928	0.0828473	0.0149039	0.3088845	0.2761078	0.0613192	0.0262334	0.040629	0.0830131
TraesCS5A02G220500	3.7335734	3.226301	0.762941	1.2119267	6.480290999999999	5.804247	0.726825	0.690009	5.2155765	4.583654999999999	2.111703	1.6223823	1.290969	1.387831
TraesCS5B02G014100	0.0	0.0	0.0	0.0	0.0568581	0.0331418	0.0231249	0.0	0.0	0.0	0.0	0.0	0.0147713	0.0
TraesCS5B02G219500	0.0673586	0.0349982	0.420365	0.385813	0.0759222	0.132134	0.133681	0.265742	0.0399073	0.0151559	0.136134	0.200462	0.0715203	0.168314
TraesCS5B02G219600	1.95214	1.54006	1.72289	1.97446	4.31315	4.40631	1.24986	1.09438	1.76565	1.61292	2.11111	1.85173	1.52919	1.96011
TraesCS5D02G021800	0.105596	0.0655407	0.0851032	0.17714	0.0945671	0.148821	0.0230747	0.0418039	0.0167235	0.0	0.231979	0.359017	0.265352	0.194933
