LC,LN,RC,RN
TraesCS7B02G379300,0,0,0,0
TraesCS7B02G393200,0,0,0,0
TraesCS7B02G388500,0,0,0,0
TraesCS1D02G019300,0,0,0,0
TraesCS1D02G104500,0.124164528238909,1.3208124814299,2.32756437683604,2.68999519023237
TraesCS1D02G161800,32.9159652694336,17.4474083812261,7.59335905904614,6.54130143799771
TraesCS1D02G256100,0,0,0.0479545902839782,0.108711832046076
TraesCS1D02G309800,0,0,0.0460088672075371,0
TraesCS2D02G225400,0.127886296623621,0,7.66206087910417,6.07406562099787
TraesCS2D02G225500,2.23738592028829,1.35229628344699,2.87834553341881,4.31125047184678
TraesCS2D02G271000_M,0,0.334055619373469,0,0
TraesCS2D02G298200,0,0,0,0
TraesCS2D02G506100,0,0,0,0
TraesCS2D02G518100,1.37175550010213,2.65312457401653,3.57530100173197,3.32517583790684
TraesCS2D02G586500,0.539773117377761,1.56597001652462,0.049600407312567,0
TraesCS2D02G601700,0,0,3.87390843724209,6.23987872486874
TraesCS2D02G601600,0,0,0.974949805112097,0.884074528332373
TraesCS2D02G548200,0,0,0,0
TraesCS3D02G003600,0,0.431651167604449,5.16804778162259,5.85791619858295
TraesCS3D02G027300,21.5536275123358,0,1.60333395973137,0.320710337533241
TraesCS3D02G199100,0,0,0,0
TraesCS3D02G303400,6.56210476678162,0.590317464372295,0.448744019887212,0.508645619040544
TraesCS3D02G325400,0,0,10.4002620928154,6.15055530753933
TraesCS3D02G328900,0,0,0,0.555855242364666
TraesCS3D02G333300,0,0,0,0
TraesCS4D02G262600,0,0,0,0
TraesCS4D02G040300,13.5026174211846,5.8416323918259,0.783645419253716,0.592168053826882
TraesCS4D02G015400_M,0,0,0,0
TraesCS4D02G313000,0,0,0,0
TraesCS5D02G021800,0,0,1.20533450967252,1.50285441079559
TraesCS5D02G071500,0,0,0,0
TraesCS5D02G228400,2.09171467078413,0,0.205024214927606,0.232392330813378
TraesCS5D02G228500,0.943967714687874,2.73860459177692,40.3971468003878,53.037337272007
TraesCS5D02G496600,0,0.146686298824734,8.86481591329005,9.22660837171086
TraesCS6D02G009800,0.553556143839443,0.401489207135194,0.915605034366143,0.807198482390428
TraesCS6D02G012400,0,0,2.56183769210049,2.05686564774215
TraesCS6D02G045700,4.325064400322,1.01395705645124,1.68608966295857,2.29339333526222
TraesCS6D02G251700,1.02984592204026,0.379396991041915,1.65834455478495,2.41093545253957
TraesCS6D02G308500,0,0,1.17892202921424,1.71045513351062
TraesCS6D02G308600,0,0,3.27688670321311,0.430644551172213
TraesCS6D02G308700,0,0.139812031035544,70.3051979578557,93.8451167129803
TraesCS6D02G308800,0,0,0.246097513410599,0
TraesCS6D02G308900,0,0,11.4469625250838,11.4893005092821
TraesCS6D02G309000,0.142317752381716,0,142.65210912823,151.555095615655
TraesCS7D02G104700,0,0,0,0
TraesCS7D02G104900,0,0,0,0
TraesCS7D02G170200,15.4951687399966,11.2629888941032,105.459434100971,148.524520759839
TraesCS7D02G211200,3.09692221012878,3.31577379946788,1.09766549486752,1.05986540944866
TraesCS7D02G296100,0,0,0,0
TraesCS7D02G403100,25.7014140059296,52.8293885353838,17.6878812747471,19.8667241430872
TraesCS7D02G464900,0,0,0,0
TraesCS7D02G465000,0,0,0,0
TraesCS7D02G476400,0,0,0,0
TraesCS7D02G472200,0,0,0,0
TraesCS1A02G019800,0,0,0,0
TraesCS1A02G020200,0,0,0,0
