Geneid,Control_rep1,Control_rep2,Control_rep3,100mM_NaCl_rep1,100mM_NaCl_rep2,100mM_NaCl_rep3,200mM_NaCl_rep1,200mM_NaCl_rep2,200mM_NaCl_rep3,300mM_NaCl_rep1,300mM_NaCl_rep2,300mM_NaCl_rep3
TraesCS5B02G067300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G219500,0.151529148338534,0.054764389105374,0.112568897273642,3.55754771588489,3.17874061495156,3.01258903192596,8.66116802992007,9.67654566337816,6.17641033941996,0.613854049741078,0.58273461334917,0.63854734529424
TraesCS5B02G219600,73.9100873565384,75.3985423468329,75.5437972077685,37.3036355005084,39.0968509563754,38.7641470742716,32.0013638028566,32.2207045093752,35.5668989253439,60.6721909562268,58.5274009713033,56.9812655443055
TraesCS5B02G496200,1.08288692265489,1.48039152726332,1.36408712394078,0.777217130631062,0.398018394120867,0.82863429974933,0.569278649853901,0.640464757784903,0.693004546074246,0,0,0
TraesCS6B02G015400,1.00077972774844,0.723386767762202,0.7096714645441,0.734248507958923,0.712147458896672,0.415133444832035,0.500026195541777,0.550051382356024,0.583728555636971,0.904660933586552,0.524821606414263,0.805122623905843
TraesCS6B02G014700,0.0522687609525954,0,0,0.0575225376946562,0,0.102213280913563,0.631992360392178,0.237006858957597,0.591806408052032,0.0577483683157595,0.0603028853615062,0.0660785312543293
TraesCS6B02G054800,0,0,0,0.124037104270316,0,0,0.0619444967657119,0,0.127612508219036,0.186786101655801,0.0650162143322905,0
TraesCS6B02G298700,0.544478491996107,0.529272584624212,0.795023225473076,0.702518038865704,0.546700895813707,0.936241817528027,0.63976630499282,0.446951854839171,1.0203787994435,0.663789260926412,0.498203133312152,0.664597859917171
TraesCS6B02G360400,0.048066762523073,0,0.107124388516616,0.0528981768211642,0,0,0,0.054488341593683,0.326537888678121,0.159317557294654,0.166365019026743,0.182299006813414
TraesCS6B02G360500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6B02G360600,0.633528901596282,0.629652875744199,0.764789694040022,0.813409151119409,0.545485526663854,0.516202750342368,0.812437872153306,1.07724976847813,0.657529632262835,0.174986261780919,0.365453667065208,0.200227911288244
TraesCS6B02G360700,0,0.22814578122296,0.117239137646941,1.09996423475768,0.543534576997674,0.51435653163585,0.809532157302973,0.477065308373877,0.476493056440177,0.174360416781703,0.4855288108935,0.199511788572621
TraesCS6B02G360800,10.8898947939293,11.4494082822968,14.0260846002958,6.69263664050845,5.18087276347329,6.49929043608945,4.30097318408851,4.96996546497766,6.29841350661837,2.08338344154548,2.93698245127982,3.21827862028297
TraesCS6B02G360900,27.4787108836552,30.4161610263695,33.1599779510279,7.80997798826758,6.43965036528132,7.26498470450981,4.78630096891527,5.2721486072618,5.30778329253439,3.29593465091057,3.441731346003,3.51369967780958
TraesCS7B02G007400,0.0705102077279978,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G007600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G073900,39.1873326290258,36.3912964220982,39.5553924909743,38.0013676712041,36.9738111992996,39.1751632783124,36.8453193530889,34.163604283093,32.4314153952356,24.2202659234866,24.8354947758561,25.4369187643234
TraesCS7B02G116100,0.152497971301818,0.144675648979256,0.0424832333930594,0.146847971424227,0.250672952094785,0.186384248633208,0.230485549785328,0.410569230204345,0.0863319456847288,0.168485130575995,0.197930388111133,0.192788996319007
TraesCS7B02G201300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G309300,20.7929958698554,19.2195260745897,22.2281018791065,12.8371877195273,14.4159904642242,13.1708146015842,4.22144744716291,4.46725832531997,4.34832410605277,7.72621856186546,7.98532641014375,7.86244391427926
TraesCS7B02G379000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G379300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G393200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B02G388500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G019300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G104500,0.865201725415314,0.493727247909749,0.608917576831293,1.05239530728421,1.24041535719897,1.38025903207644,4.50487996602654,5.16205341413839,3.97001327813926,0.35217565296713,1.31340804494797,0.4605448593181
TraesCS1D02G161800,4.44485501793032,3.72397845916543,4.10876475048794,4.50252132791681,4.03273063090869,3.40768267545724,2.49841385478464,3.03465633230203,2.00161446184906,3.40409973038234,3.0884934507506,3.32044619553005
TraesCS1D02G256100,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G309800,0,0,0,0,0,0,0,0,0,1.01438145093975,0.953327637119541,1.27677581550968
